Time;Stress;First Derivative;Rate in degrees;Second Derivative
115,2;2,89E-07;-9,999999999999158E-08;-1,7453292519941767E-09;-4,999999999998442E-07
115,3;2,84E-07;-5,000000000000289E-08;-8,726646259972145E-10;4,999999999999153E-07
115,4;2,74E-07;-9,999999999999158E-08;-1,7453292519941767E-09;-4,999999999998442E-07
115,5;2,69E-07;-5,000000000000289E-08;-8,726646259972145E-10;4,999999999999153E-07
115,6;2,59E-07;-1,0000000000000578E-07;-1,7453292519944247E-09;-5,000000000000574E-07
115,7;2,54E-07;-4,999999999999526E-08;-8,726646259970813E-10;5,000000000000626E-07
115,8;2,44E-07;-1,0000000000000578E-07;-1,7453292519944247E-09;-5,000000000001336E-07
115,9;2,39E-07;-4,999999999999579E-08;-8,726646259970906E-10;5,000000000000573E-07
116;2,29E-07;-1,0000000000000578E-07;-1,7453292519944247E-09;-5,000000000001283E-07
116,1;2,25E-07;-4,000000000000237E-08;-6,981317007977729E-10;6,000000000000682E-07
116,2;2,14E-07;-1,0999999999999041E-07;-1,9198621771935873E-09;-6,999999999998207E-07
116,3;2,10E-07;-4,000000000000237E-08;-6,981317007977729E-10;6,999999999999202E-07
116,4;1,99E-07;-1,0999999999999068E-07;-1,919862177193592E-09;-6,999999999998234E-07
116,5;1,95E-07;-4,0000000000002105E-08;-6,981317007977682E-10;6,999999999999255E-07
116,6;1,85E-07;-1,0000000000000578E-07;-1,7453292519944247E-09;-6,000000000000708E-07
116,7;1,80E-07;-4,999999999999579E-08;-8,726646259970906E-10;5,000000000000573E-07
116,8;1,70E-07;-1,0000000000000578E-07;-1,7453292519944247E-09;-5,000000000001283E-07
116,9;1,65E-07;-4,9999999999995524E-08;-8,72664625997086E-10;5,000000000000599E-07
117;1,55E-07;-1,0000000000000578E-07;-1,7453292519944247E-09;-5,00000000000131E-07
117,1;1,51E-07;-4,000000000000237E-08;-6,981317007977729E-10;6,000000000000682E-07
117,2;1,40E-07;-1,0999999999999041E-07;-1,9198621771935873E-09;-6,999999999998207E-07
117,3;1,36E-07;-4,000000000000237E-08;-6,981317007977729E-10;6,999999999999202E-07
117,4;1,25E-07;-1,0999999999999068E-07;-1,919862177193592E-09;-6,999999999998234E-07
117,5;1,21E-07;-4,0000000000002105E-08;-6,981317007977682E-10;6,999999999999255E-07
117,6;1,11E-07;-1,0000000000000578E-07;-1,7453292519944247E-09;-6,000000000000708E-07
117,7;1,06E-07;-4,999999999999579E-08;-8,726646259970906E-10;5,000000000000573E-07
117,8;9,60E-08;-1,0000000000000565E-07;-1,7453292519944224E-09;-5,00000000000127E-07
117,9;9,16E-08;-4,3999999999996245E-08;-7,67944870877439E-10;5,600000000000463E-07
118;8,13E-08;-1,0300000000000591E-07;-1,7976891295542562E-09;-5,900000000001302E-07
118,1;7,70E-08;-4,3000000000002364E-08;-7,504915783576025E-10;6,000000000000696E-07
118,2;6,66E-08;-1,0399999999999114E-07;-1,8151424220739416E-09;-6,099999999998358E-07
118,3;6,23E-08;-4,3000000000002496E-08;-7,504915783576048E-10;6,099999999999211E-07
118,4;5,20E-08;-1,0299999999999114E-07;-1,7976891295539984E-09;-5,999999999998353E-07
118,5;4,76E-08;-4,40000000000025E-08;-7,679448708775482E-10;5,8999999999992E-07
118,6;3,73E-08;-1,0300000000000585E-07;-1,797689129554255E-09;-5,90000000000067E-07
118,7;3,30E-08;-4,299999999999639E-08;-7,504915783574982E-10;6,000000000000434E-07
118,8;2,27E-08;-1,0300000000000582E-07;-1,7976891295542546E-09;-6,000000000001284E-07
118,9;1,83E-08;-4,399999999999628E-08;-7,679448708774396E-10;5,900000000000451E-07
119;8,04E-09;-1,0260000000000582E-07;-1,7907078125462773E-09;-5,860000000001287E-07
119,1;3,71E-09;-4,330000000000246E-08;-7,557275661135872E-10;5,930000000000673E-07
119,2;-6,58E-09;-1,0289999999999123E-07;-1,7959438003020058E-09;-5,959999999998368E-07
119,3;-1,09E-08;-4,320000000000246E-08;-7,539822368615928E-10;5,969999999999216E-07
119,4;-2,12E-08;-1,0299999999999123E-07;-1,797689129554E-09;-5,979999999998367E-07
119,5;-2,55E-08;-4,300000000000243E-08;-7,504915783576037E-10;5,999999999999223E-07
119,6;-3,58E-08;-1,0300000000000589E-07;-1,7976891295542556E-09;-6,000000000000686E-07
119,7;-4,01E-08;-4,299999999999632E-08;-7,504915783574971E-10;6,000000000000444E-07
119,8;-5,03E-08;-1,0200000000000578E-07;-1,780235837034311E-09;-5,900000000001282E-07
119,9;-5,46E-08;-4,299999999999632E-08;-7,504915783574971E-10;5,900000000000443E-07
120;-6,49E-08;-1,0300000000000591E-07;-1,7976891295542562E-09;-6,0000000000013E-07
120,1;-6,92E-08;-4,3000000000002364E-08;-7,504915783576025E-10;6,000000000000696E-07
120,2;-6,77E-08;1,4999999999998655E-08;2,6179938779912596E-10;5,799999999999608E-07
120,3;-6,65E-08;1,2000000000000657E-08;2,09439510239331E-10;-2,9999999999981693E-08
120,4;-6,54E-08;1,0999999999999094E-08;1,9198621771936045E-10;-1,0000000000014772E-08
120,5;-6,43E-08;1,1000000000000658E-08;1,9198621771938772E-10;1,563371357725311E-20
120,6;-6,34E-08;9,000000000000526E-09;1,5707963267949885E-10;-2,000000000000246E-08
120,7;-6,25E-08;8,999999999999247E-09;1,570796326794765E-10;-1,2788212270068717E-20
120,8;-6,16E-08;9,000000000000526E-09;1,5707963267949885E-10;1,2788212270070535E-20
120,9;-6,08E-08;7,999999999999258E-09;1,396263401595334E-10;-1,0000000000011827E-08
121;-6,00E-08;8,000000000000527E-09;1,3962634015955556E-10;1,2688950596564165E-20
121,1;-5,93E-08;7,000000000000328E-09;1,2217304763960879E-10;-1,0000000000002553E-08
121,2;-5,85E-08;7,999999999999324E-09;1,3962634015953457E-10;9,999999999989105E-09
121,3;-5,78E-08;7,000000000000394E-09;1,2217304763960995E-10;-9,999999999989864E-09
121,4;-5,72E-08;5,999999999999476E-09;1,0471975511965064E-10;-1,0000000000008328E-08
121,5;-5,65E-08;7,000000000000394E-09;1,2217304763960995E-10;1,000000000000975E-08
121,6;-5,59E-08;6,0000000000003945E-09;1,0471975511966666E-10;-1,0000000000000568E-08
