Time;Strain;Strain Derivative;Reduced Relaxation Function;Reduced Relaxation Function Derivative;Elastic Response;Elastic Response Derivative;Stress
17.3;0.06;0;0.896901415;-0.003882286;2.28012;0;2.045042854
17.4;0.06;0;0.896514059;-0.003864849;2.28012;0;2.044159636
17.5;0.06;0;0.896128442;-0.0038475;2.28012;0;2.043280384
17.6;0.06;0;0.895744556;-0.00383024;2.28012;0;2.042405077
17.7;0.06;0;0.895362391;-0.003813068;2.28012;0;2.041533696
17.8;0.06;0;0.894981939;-0.003795983;2.28012;0;2.04066622
17.9;0.06;0;0.894603192;-0.003778986;2.28012;0;2.039802629
18;0.06;0;0.894226139;-0.003762074;2.28012;0;2.038942905
18.1;0.06;0;0.893850774;-0.003745249;2.28012;0;2.038087027
18.2;0.06;0;0.893477087;-0.00372851;2.28012;0;2.037234975
18.3;0.06;0;0.893105069;-0.003711856;2.28012;0;2.03638673
18.4;0.06;0;0.892734713;-0.003695287;2.28012;0;2.035542273
18.5;0.06;0;0.892366009;-0.003678802;2.28012;0;2.034701584
18.6;0.06;0;0.89199895;-0.0036624;2.28012;0;2.033864645
18.7;0.06;0;0.891633526;-0.003646083;2.28012;0;2.033031436
18.8;0.06;0;0.89126973;-0.003629848;2.28012;0;2.032201937
18.9;0.06;0;0.890907554;-0.003613697;2.28012;0;2.031376131
19;0.06;0;0.890546988;-0.003597627;2.28012;0;2.030553999
19.1;0.06;0;0.890188026;-0.003581639;2.28012;0;2.029735521
19.2;0.06;0;0.889830658;-0.003565733;2.28012;0;2.028920679
19.3;0.06;0;0.889474876;-0.003549907;2.28012;0;2.028109455
19.4;0.06;0;0.889120673;-0.003534162;2.28012;0;2.02730183
19.5;0.06;0;0.888768041;-0.003518498;2.28012;0;2.026497786
19.6;0.06;0;0.888416971;-0.003502913;2.28012;0;2.025697305
19.7;0.06;0;0.888067456;-0.003487407;2.28012;0;2.024900368
19.8;0.06;0;0.887719487;-0.00347198;2.28012;0;2.024106957
19.9;0.06;0;0.887373057;-0.003456632;2.28012;0;2.023317055
20;0.06;0;0.887028158;-0.003441361;2.28012;0;2.022530644
20.1;0.06;0;0.886684782;-0.003426169;2.28012;0;2.021747706
20.2;0.06;0;0.886342922;-0.003411054;2.28012;0;2.020968223
20.3;0.06;0;0.886002569;-0.003396015;2.28012;0;2.020192178
20.4;0.06;0;0.885663716;-0.003381053;2.28012;0;2.019419553
20.5;0.06;0;0.885326356;-0.003366168;2.28012;0;2.018650331
20.6;0.06;0;0.88499048;-0.003351358;2.28012;0;2.017884494
20.7;0.06;0;0.884656082;-0.003336623;2.28012;0;2.017122025
20.8;0.06;0;0.884323153;-0.003321963;2.28012;0;2.016362908
20.9;0.06;0;0.883991687;-0.003307378;2.28012;0;2.015607125
21;0.06;0;0.883661675;-0.003292867;2.28012;0;2.014854659
21.1;0.06;0;0.883333111;-0.00327843;2.28012;0;2.014105493
21.2;0.06;0;0.883005987;-0.003264066;2.28012;0;2.01335961
21.3;0.06;0;0.882680295;-0.003249776;2.28012;0;2.012616995
21.4;0.06;0;0.882356029;-0.003235558;2.28012;0;2.011877629
21.5;0.06;0;0.882033181;-0.003221412;2.28012;0;2.011141497
21.6;0.06;0;0.881711744;-0.003207338;2.28012;0;2.010408582
21.7;0.06;0;0.881391711;-0.003193336;2.28012;0;2.009678868
