Time;Numeric;Experimental
1706;3,57350414;
1708;3,57350409;
1710;3,57350404;
1712;3,57350399;
1714;3,57350394;
1716;3,57350388;
1718;3,57350384;
1720;3,57350379;
1722;3,57350374;
1724;3,57350369;
1726;3,57350364;
1728;3,5735036;
1730;3,57350355;
1732;3,5735035;
1734;3,57350346;
1736;3,57350342;
1738;3,57350337;
1740;3,57350333;
1742;3,57350329;
1744;3,57350324;
1746;3,5735032;
1748;3,57350316;
1750;3,57350312;
1752;3,57350308;
1754;3,57350304;
1756;3,573503;
1758;3,57350297;
1760;3,57350293;
1762;3,57350289;
1764;3,57350285;
1766;3,57350282;
1768;3,57350278;
1770;3,57350275;
1772;3,57350271;
1774;3,57350268;
1776;3,57350264;
1778;3,57350261;
1780;3,57350257;
1782;3,57350254;
1784;3,57350251;
1786;3,57350248;
1788;3,57350245;
1790;3,57350241;
1792;3,57350238;
1794;3,57350235;
1796;3,57350232;
1798;3,57350229;
1800;3,57350226;
