Time;Stress;Time;Derivative;Second Derivative
48;1,82101;-0,0061;0,000545455;sim
48,1;1,82156;0,0055;0,00078903;sim
48,2;1,82125;-0,0031;0,000606316;sim
48,3;1,82101;-0,0024;0,000619748;sim
48,4;1,82126;0,0025;0,000721174;sim
48,5;1,82107;-0,0019;0,000627615;sim
48,6;1,82014;-0,0093;0,000471816;sim
48,7;1,81992;-0,0022;0,00061875;sim
48,8;1,82002;0,001;0,000683992;sim
48,9;1,8201;0,0008;0,000678423;sim
49;1,81978;-0,0032;0,000594203;sim
49,1;1,82038;0,006;0,000783058;sim
49,2;1,82;-0,0038;0,000579381;sim
49,3;1,82033;0,0033;0,00072428;sim
49,4;1,81922;-0,0111;0,000427105;sim
49,5;1,8195;0,0028;0,000711066;sim
49,6;1,81926;-0,0024;0,000603272;sim
49,7;1,81963;0,0037;0,000726531;sim
49,8;1,81863;-0,01;0,000446029;sim
49,9;1,81881;0,0018;0,000684959;sim
50;1,81855;-0,0026;0,00059432;sim
50,1;1,81864;0,0009;0,000663968;sim
50,2;1,81819;-0,0045;0,000553535;sim
50,3;1,81852;0,0033;0,000709677;sim
50,4;1,81866;0,0014;0,00067002;sim
50,5;1,81891;0,0025;0,000690763;sim
50,6;1,81772;-0,0119;0,000400802;sim
50,7;1,81852;0,008;0,000798;sim
50,8;1,81823;-0,0029;0,000578842;sim
50,9;1,81809;-0,0014;0,00060757;sim
51;1,81707;-0,0102;0,000431412;sim
51,1;1,81738;0,0031;0,000694444;sim
51,2;1,81595;-0,0143;0,000348515;sim
51,3;1,81623;0,0028;0,000685771;sim
51,4;1,81699;0,0076;0,000779093;sim
51,5;1,81656;-0,0043;0,000543307;sim
51,6;1,81679;0,0023;0,000671906;sim
51,7;1,81626;-0,0053;0,000521569;sim
51,8;1,81664;0,0038;0,00069863;sim
51,9;1,81551;-0,0113;0,000402344;sim
52;1,81659;0,0108;0,000832359;sim
52,1;1,81625;-0,0034;0,000554475;sim
52,2;1,81593;-0,0032;0,000557282;sim
52,3;1,81628;0,0035;0,000686047;sim
52,4;1,81574;-0,0054;0,000512573;sim
52,5;1,81582;0,0008;0,000631274;sim
52,6;1,81511;-0,0071;0,000477842;sim
52,7;1,81506;-0,0005;0,000603846;sim
52,8;1,81521;0,0015;0,000641075;sim
52,9;1,81456;-0,0065;0,00048659;sim
53;1,81476;0,002;0,000648184;sim
53,1;1,815;0,0024;0,00065458;sim
53,2;1,81445;-0,0055;0,000502857;sim
53,3;1,81429;-0,0016;0,000576046;sim
53,4;1,81405;-0,0024;0,000559772;sim
53,5;1,81395;-0,001;0,000585227;sim
53,6;1,81404;0,0009;0,000620038;sim
53,7;1,8138;-0,0024;0,000556604;sim
53,8;1,81409;0,0029;0,000655367;sim
53,9;1,81368;-0,0041;0,000522556;sim
54;1,81251;-0,0117;0,000378987;sim
54,1;1,81319;0,0068;0,000724719;sim
54,2;1,81338;0,0019;0,000631776;sim
54,3;1,81322;-0,0016;0,000565299;sim
54,4;1,81234;-0,0088;0,000430168;sim
54,5;1,81236;0,0002;0,000596654;sim
54,6;1,81259;0,0023;0,000634508;sim
54,7;1,81239;-0,002;0,000553704;sim
54,8;1,81272;0,0033;0,000650647;sim
54,9;1,81247;-0,0025;0,000542435;sim
55;1,81231;-0,0016;0,000558011;sim
55,1;1,81209;-0,0022;0,000545956;sim
55,2;1,81186;-0,0023;0,000543119;sim
55,3;1,81163;-0,0023;0,000542125;sim
55,4;1,81143;-0,002;0,000546618;sim
55,5;1,81198;0,0055;0,000682482;sim
55,6;1,8121;0,0012;0,000602914;sim
55,7;1,81143;-0,0067;0,000458182;sim
55,8;1,81145;0,0002;0,000582577;sim
55,9;1,81183;0,0038;0,000646739;sim
56;1,81213;0,003;0,000631103;sim
56,1;1,81068;-0,0145;0,000314079;sim
56,2;1,81131;0,0063;0,000688288;sim
56,3;1,81091;-0,004;0,000501799;sim
56,4;1,81071;-0,002;0,000536804;sim
56,5;1,81126;0,0055;0,000670251;sim
56,6;1,81059;-0,0067;0,000450805;sim
56,7;1,81023;-0,0036;0,000505357;sim
56,8;1,80974;-0,0049;0,000481283;sim
56,9;1,81076;0,0102;0,00074911;sim
57;1,81016;-0,006;0,000460036;sim
57,1;1,80975;-0,0041;0,000492908;sim
57,2;1,80996;0,0021;0,00060177;sim
57,3;1,80953;-0,0043;0,000487633;sim
57,4;1,80919;-0,0034;0,000502646;sim
57,5;1,80986;0,0067;0,000679577;sim
57,6;1,8093;-0,0056;0,000462214;sim
57,7;1,81002;0,0072;0,000685965;sim
57,8;1,80909;-0,0093;0,000395797;sim
57,9;1,80902;-0,0007;0,000545455;sim
58;1,80832;-0,007;0,000434555;sim
58,1;1,80804;-0,0028;0,000506969;sim
58,2;1,80848;0,0044;0,000631304;sim
58,3;1,8082;-0,0028;0,000505208;sim
58,4;1,80869;0,0049;0,000637782;sim
58,5;1,80841;-0,0028;0,00050346;sim
58,6;1,80866;0,0025;0,000594128;sim
58,7;1,80788;-0,0078;0,000415517;sim
58,8;1,80779;-0,0009;0,000533563;sim
58,9;1,80774;-0,0005;0,000539519;sim
59;1,80888;0,0114;0,00074271;sim
59,1;1,80734;-0,0154;0,000282534;sim
59,2;1,80793;0,0059;0,000646154;sim
59,3;1,80755;-0,0038;0,000479522;sim
59,4;1,80752;-0,0003;0,00053833;sim
59,5;1,8072;-0,0032;0,000488095;sim
59,6;1,80766;0,0046;0,000619694;sim
59,7;1,80743;-0,0023;0,000501695;sim
59,8;1,80711;-0,0032;0,000485618;sim
59,9;1,80738;0,0027;0,000584459;sim
60;1,8065;-0,0088;0,000389545;sim
