;First Relaxation;;Second Relaxation;
Time;Experimental;Numerical;Experimental;Numerical
23.5;1.8926;1.997073203;1.66778;1.686027735
23.6;1.89045;1.996401306;1.66745;1.685802884
23.7;1.88856;1.995732299;1.66763;1.685578757
23.8;1.88752;1.995066168;1.66695;1.68535535
23.9;1.88584;1.994402899;1.66653;1.68513266
24;1.88452;1.993742477;1.66663;1.684910682
24.1;1.88367;1.993084887;1.66606;1.684689414
24.2;1.88183;1.992430115;1.66589;1.684468852
24.3;1.88029;1.991778146;1.66603;1.684248992
24.4;1.87989;1.991128968;1.66583;1.684029832
24.5;1.87778;1.990482564;1.66477;1.683811366
24.6;1.87764;1.989838922;1.66486;1.683593593
24.7;1.87586;1.989198027;1.66554;1.683376509
24.8;1.87571;1.988559866;1.66414;1.68316011
24.9;1.87474;1.987924423;1.6642;1.682944393
25;1.87346;1.987291687;1.66391;1.682729354
25.1;1.87175;1.986661642;1.66424;1.682514991
25.2;1.87154;1.986034275;1.66342;1.6823013
25.3;1.86968;1.985409573;1.66289;1.682088278
25.4;1.86911;1.984787522;1.66373;1.681875921
25.5;1.86806;1.984168108;1.66316;1.681664226
25.6;1.8668;1.983551319;1.66279;1.681453191
25.7;1.8665;1.982937141;1.66342;1.681242811
25.8;1.8644;1.98232556;1.6625;1.681033084
25.9;1.86434;1.981716564;1.66192;1.680824007
26;1.86278;1.981110139;1.66205;1.680615576
26.1;1.86209;1.980506273;1.66192;1.680407789
26.2;1.86036;1.979904951;1.66241;1.680200641
26.3;1.85898;1.979306163;1.66032;1.679994131
26.4;1.85903;1.978709893;1.66147;1.679788255
26.5;1.85836;1.978116131;1.66049;1.67958301
26.6;1.8564;1.977524863;1.65999;1.679378392
26.7;1.85663;1.976936076;1.65972;1.6791744
26.8;1.85621;1.976349758;1.65938;1.67897103
26.9;1.85432;1.975765896;1.65999;1.678768278
27;1.85341;1.975184478;1.65927;1.678566143
27.1;1.85294;1.974605492;1.65935;1.678364621
27.2;1.85267;1.974028925;1.65844;1.678163709
27.3;1.85079;1.973454764;1.65917;1.677963404
27.4;1.85;1.972882999;1.65848;1.677763703
27.5;1.84952;1.972313615;1.6578;1.677564604
27.6;1.8488;1.971746603;1.65834;1.677366104
27.7;1.8481;1.971181949;1.65822;1.677168199
27.8;1.84755;1.970619641;1.65697;1.676970887
27.9;1.846;1.970059668;1.65843;1.676774166
28;1.84604;1.969502017;1.65614;1.676578031
28.1;1.8451;1.968946678;1.65737;1.676382481
28.2;1.84447;1.968393638;1.65693;1.676187513
28.3;1.84386;1.967842885;1.65646;1.675993124
28.4;1.8428;1.967294409;1.65657;1.675799311
28.5;1.84272;1.966748197;1.65541;1.675606071
28.6;1.84091;1.966204238;1.65599;1.675413402
28.7;1.84071;1.965662521;1.65621;1.675221302
28.8;1.83988;1.965123034;1.65597;1.675029767
28.9;1.83949;1.964585766;1.65528;1.674838794
29;1.83893;1.964050705;1.65557;1.674648382
29.1;1.83847;1.963517842;1.65476;1.674458526
29.2;1.83719;1.962987163;1.65416;1.674269226
29.3;1.83722;1.962458659;1.65418;1.674080478
29.4;1.83582;1.961932319;1.65415;1.67389228
29.5;1.83514;1.961408131;1.6542;1.673704628
29.6;1.83442;1.960886084;1.65406;1.673517521
29.7;1.8342;1.960366168;1.65417;1.673330956
29.8;1.83354;1.959848372;1.65345;1.67314493
29.9;1.83282;1.959332685;1.65292;1.672959441
30;1.83244;1.958819096;1.65317;1.672774486
30.1;1.83142;1.958307595;1.65271;1.672590063
30.2;1.83127;1.957798172;1.65297;1.672406169
30.3;1.83007;1.957290815;1.65255;1.672222802
30.4;1.83041;1.956785515;1.65212;1.672039959
30.5;1.82999;1.95628226;1.65263;1.671857638
30.6;1.82906;1.955781041;1.65242;1.671675836
30.7;1.82845;1.955281848;1.65168;1.671494552
30.8;1.8283;1.954784669;1.65134;1.671313781
30.9;1.82803;1.954289495;1.65172;1.671133523
31;1.82722;1.953796316;1.651;1.670953775
31.1;1.82619;1.953305121;1.65193;1.670774534
31.2;1.82595;1.952815901;1.65083;1.670595798
31.3;1.82541;1.952328646;1.65068;1.670417565
31.4;1.82385;1.951843345;1.65065;1.670239832
31.5;1.82373;1.951359989;1.65066;1.670062597
31.6;1.82299;1.950878567;1.64982;1.669885857
31.7;1.82208;1.950399071;1.64937;1.669709611
31.8;1.8226;1.949921491;1.65019;1.669533856
31.9;1.82164;1.949445816;1.64963;1.66935859
32;1.8212;1.948972037;1.64839;1.66918381
32.1;1.82082;1.948500144;1.64919;1.669009514
32.2;1.82089;1.948030129;1.64864;1.6688357
32.3;1.81961;1.947561981;1.64859;1.668662366
32.4;1.81928;1.947095691;1.64849;1.668489509
32.5;1.81879;1.94663125;1.64866;1.668317128
32.6;1.81882;1.946168648;1.64856;1.66814522
32.7;1.81734;1.945707876;1.64791;1.667973782
32.8;1.81742;1.945248925;1.6483;1.667802813
32.9;1.81682;1.944791785;1.64771;1.667632311
33;1.81528;1.944336448;1.64762;1.667462273
33.1;1.81589;1.943882904;1.64692;1.667292697
33.2;1.81539;1.943431145;1.64804;1.667123581
33.3;1.81417;1.94298116;1.64741;1.666954923
33.4;1.81361;1.942532942;1.64666;1.666786721
33.5;1.81379;1.942086482;1.64666;1.666618973
33.6;1.81327;1.94164177;1.64631;1.666451676
33.7;1.81253;1.941198797;1.64651;1.666284828
33.8;1.81219;1.940757556;1.64603;1.666118428
33.9;1.81174;1.940318036;1.64637;1.665952473
34;1.81045;1.939880231;1.64614;1.665786962
34.1;1.81071;1.93944413;1.64542;1.665621892
34.2;1.81065;1.939009725;1.64558;1.665457261
34.3;1.81033;1.938577008;1.64544;1.665293067
34.4;1.80989;1.93814597;1.64521;1.665129309
34.5;1.80857;1.937716602;1.64501;1.664965983
34.6;1.80928;1.937288897;1.64437;1.664803089
34.7;1.80826;1.936862846;1.64486;1.664640624
34.8;1.80723;1.93643844;1.64434;1.664478586
34.9;1.80738;1.936015672;1.64462;1.664316973
35;1.80661;1.935594532;1.64419;1.664155784
35.1;1.80557;1.935175014;1.64357;1.663995016
35.2;1.80612;1.934757108;1.6432;1.663834667
35.3;1.80607;1.934340806;1.6437;1.663674736
35.4;1.80524;1.933926101;1.64341;1.66351522
35.5;1.80468;1.933512984;1.64345;1.663356118
35.6;1.80314;1.933101447;1.64362;1.663197428
35.7;1.80417;1.932691483;1.64274;1.663039147
35.8;1.80295;1.932283083;1.64321;1.662881275
35.9;1.80303;1.93187624;1.64214;1.662723809
36;1.8025;1.931470945;1.64207;1.662566747
36.1;1.80209;1.931067191;1.64186;1.662410087
36.2;1.80128;1.930664971;1.64237;1.662253828
36.3;1.80094;1.930264276;1.64197;1.662097968
36.4;1.80089;1.929865098;1.64133;1.661942504
36.5;1.80045;1.929467431;1.6419;1.661787436
36.6;1.79903;1.929071266;1.64146;1.661632761
36.7;1.79935;1.928676596;1.64098;1.661478477
36.8;1.79914;1.928283414;1.64089;1.661324584
36.9;1.79848;1.927891711;1.64048;1.661171078
37;1.79766;1.927501481;1.64061;1.661017958
37.1;1.79769;1.927112716;1.64056;1.660865223
37.2;1.79726;1.926725409;1.64008;1.66071287
37.3;1.79695;1.926339552;1.64058;1.660560898
37.4;1.79616;1.925955138;1.64017;1.660409306
37.5;1.79584;1.925572159;1.63904;1.660258091
37.6;1.79557;1.92519061;1.63971;1.660107251
37.7;1.79527;1.924810482;1.63879;1.659956786
37.8;1.79498;1.924431768;1.63954;1.659806693
37.9;1.79464;1.924054461;1.63918;1.65965697
38;1.79393;1.923678554;1.63895;1.659507617
38.1;1.79404;1.92330404;1.63861;1.659358631
38.2;1.79299;1.922930912;1.63822;1.65921001
38.3;1.79288;1.922559163;1.63843;1.659061753
38.4;1.79216;1.922188786;1.63734;1.658913859
38.5;1.79158;1.921819775;1.6376;1.658766325
38.6;1.79134;1.921452121;1.63765;1.658619151
38.7;1.79094;1.92108582;1.63805;1.658472333
38.8;1.79144;1.920720863;1.63791;1.658325872
38.9;1.7908;1.920357244;1.6366;1.658179765
39;1.79089;1.919994956;1.63772;1.65803401
39.1;1.78959;1.919633993;1.63733;1.657888606
39.2;1.78964;1.919274347;1.63648;1.657743552
39.3;1.78938;1.918916013;1.63706;1.657598845
