;;;First Relaxation;;;Second Relaxation;;
Numerical Time;Experimental Time;Experimental;Equation 1;Equation 2;Equation 3;Equation 1;Equation 2;Equation 3
17;17;1,30469;1,232859205;1,237748934;1,237748855;1,546038907;1,552213218;1,552212956
17,1;17,1;1,31311;1,237252135;1,244729685;1,244730609;1,551871095;1,561282721;1,561282943
17,2;17,2;1,32068;1,246820831;1,251708906;1,251708827;1,564178357;1,570352815;1,570352554
17,3;17,3;1,32904;1,251208344;1,258684606;1,258685521;1,570009649;1,57942254;1,579422759
17,4;17,4;1,33635;1,260772354;1,265658793;1,265658714;1,582318252;1,588492864;1,588492603
17,5;17,5;1,3454;1,265154504;1,272629496;1,272630402;1,588148668;1,597562833;1,597563049
17,6;17,6;1,35186;1,274713881;1,279598702;1,279598623;1,600458635;1,606633408;1,606633147
17,7;17,7;1,36119;1,27909072;1,286564459;1,286565357;1,606288196;1,615703643;1,615703855
17,8;17,8;1,36875;1,288645517;1,293528737;1,293528659;1,618599548;1,62477449;1,624774229
17,9;17,9;1,37631;1,293017097;1,300489601;1,30049049;1,624428275;1,633845011;1,633845219
18;18;1,38394;1,302567365;1,307449004;1,307448925;1,636741033;1,642916152;1,64291589
18,1;18,1;1,39324;1,306933738;1,314405026;1,314405906;1,642568946;1,651986979;1,651987184
18,2;18,2;1,39965;1,31647953;1,321359603;1,321359524;1,654883132;1,661058434;1,661058172
18,3;18,3;1,40911;1,320840747;1,328310834;1,328311706;1,660710252;1,670129589;1,670129791
18,4;18,4;1,41662;1,330382113;1,335260638;1,335260559;1,673025886;1,679201378;1,679201117
18,5;18,5;1,42313;1,334738225;1,342207129;1,342207992;1,678852232;1,688272881;1,68827308
18,6;18,6;1,43377;1,344275215;1,349152208;1,34915213;1,691169335;1,697345025;1,697344763
18,7;18,7;1,43944;1,348626271;1,356094009;1,356094864;1,696994927;1,706416895;1,70641709
18,8;18,8;1,4475;1,358158936;1,363034415;1,363034336;1,709313519;1,715489413;1,715489151
18,9;18,9;1,45597;1,362504986;1,369971575;1,369972421;1,715138376;1,724561671;1,724561863
19;19;1,46437;1,377220819;1,376907356;1,376907277;1,733960434;1,733634583;1,733634321
19,1;19,1;1,4718;1,386750062;1,383839924;1,383840762;1,746288769;1,742707248;1,742707437
19,2;19,2;1,47938;1,391086779;1,390771129;1,39077105;1,752108443;1,751780573;1,751780311
19,3;19,3;1,48763;1,400611819;1,397699154;1,397699984;1,764438319;1,760853664;1,76085385
19,4;19,4;1,49665;1,404943652;1,404625831;1,404625753;1,770257305;1,769927422;1,76992716
19,5;19,5;1,50223;1,414464538;1,41154936;1,411550183;1,782588742;1,779000959;1,779001141
19,6;19,6;1,51187;1,418791534;1,418471558;1,41847148;1,788407058;1,788075168;1,788074906
19,7;19,7;1,52047;1,428308312;1,425390639;1,425391454;1,800740075;1,797149168;1,797149348
19,8;19,8;1,52666;1,432630519;1,432308405;1,432308326;1,806557739;1,806223848;1,806223586
19,9;19,9;1,53601;1,442143238;1,439223085;1,439223892;1,818892355;1,815298331;1,815298507
20;20;1,54326;1,446460702;1,446136465;1,446136387;1,824709386;1,8243735;1,824373238
20,1;20,1;1,54954;1,455969408;1,45304679;1,453047589;1,837045621;1,833448484;1,833448657
20,2;20,2;1,56091;1,460282176;1,459955831;1,459955753;1,842862036;1,84252416;1,842523898
20,3;20,3;1,56723;1,469786915;1,466861848;1,46686264;1,855199907;1,851599663;1,851599833
20,4;20,4;1,57395;1,474095033;1,473766596;1,473766518;1,861015725;1,860675864;1,860675602
20,5;20,5;1,58457;1,483595851;1,48066835;1,480669134;1,873355251;1,869751905;1,869752072
20,6;20,6;1,59099;1,487899364;1,48756885;1,487568772;1,879170489;1,878828649;1,878828387
20,7;20,7;1,59839;1,497396306;1,494466386;1,494467162;1,891511689;1,887905245;1,887905409
20,8;20,8;1,60627;1,501695259;1,501362683;1,501362605;1,897326364;1,89698255;1,896982289
20,9;20,9;1,61385;1,51118837;1,508256046;1,508256815;1,909669255;1,906059719;1,90605988
21;21;1,62217;1,515482808;1,515148185;1,515148107;1,915483385;1,915137603;1,915137341
21,1;21,1;1,63002;1,524972132;1,522037419;1,522038181;1,927827985;1,924215362;1,92421552
21,2;21,2;1,63786;1,529262099;1,528925444;1,528925366;1,933641586;1,933293842;1,93329358
21,3;21,3;1,64548;1,538747681;1,535810593;1,535811347;1,945987913;1,942372208;1,942372363
21,4;21,4;1,65322;1,543033219;1,542694546;1,542694468;1,951801003;1,951451301;1,951451039
21,5;21,5;1,66212;1,552515102;1,549575654;1,549576401;1,964149075;1,960530292;1,960530445
21,6;21,6;1,66891;1,556796255;1,55645558;1,556455502;1,96996167;1,969610015;1,969609753
21,7;21,7;1,67621;1,566274482;1,563332689;1,563333428;1,982311503;1,978689648;1,978689798
21,8;21,8;1,68507;1,570551294;1,57020863;1,570208552;1,98812362;1,987770018;1,987769756
21,9;21,9;1,69379;1,580025907;1,577081782;1,577082515;2,000475232;1,996850309;1,996850456
22;22;1,69872;1,584298419;1,583953781;1,583953703;2,006286886;2,005931343;2,005931081
22,1;22,1;1,70818;1,593769461;1,590823018;1,590823744;2,018640295;2,015012308;2,015012453
22,2;22,2;1,7155;1,598037716;1,597691116;1,597691039;2,024451503;2,024094023;2,024093761
22,3;22,3;1,72305;1,607505228;1,604556481;1,6045572;2,036806725;2,03317568;2,033175821
22,4;22,4;1,73085;1,611769266;1,61142072;1,611420642;2,042617503;2,042258091;2,042257829
22,5;22,5;1,73858;1,62123329;1,618282253;1,618282965;2,054974554;2,051340455;2,051340594
22,6;22,6;1,74659;1,625493153;1,625142674;1,625142596;2,060784919;2,060423579;2,060423317
22,7;22,7;1,75379;1,634953729;1,632000416;1,632001122;2,073143816;2,069506667;2,069506803
22,8;22,8;1,76157;1,639209457;1,63885706;1,638856982;2,078953782;2,07859052;2,078590258
22,9;22,9;1,76956;1,648666627;1,645711051;1,64571175;2,091314541;2,087674347;2,087674481
23;23;1,77725;1,652918261;1,652563957;1,652563879;2,097124125;2,096758945;2,096758683
23,1;23,1;1,78413;1,662372063;1,659414238;1,65941493;2,109486763;2,105843528;2,105843659
23,2;23,2;1,793;1,666619642;1,666263446;1,666263369;2,115295978;2,114928886;2,114928624
23,3;23,3;1,79922;1,676070118;1,673110056;1,673110741;2,127660511;2,12401424;2,124014368
23,4;23,4;1,80738;1,680313682;1,679955606;1,679955529;2,133469374;2,133100374;2,133100112
23,5;23,5;1,8148;1,689760869;1,686798584;1,686799263;2,145835818;2,142186514;2,14218664
23,6;23,6;1,82074;1,694000457;1,693640515;1,693640438;2,151644344;2,15127344;2,151273178
23,7;23,7;1,8311;1,703444395;1,7004799;1,700480572;2,164012714;2,160360382;2,160360505
