Time;Strain;Reduced Relaxation Function;Elastic Response;Stress;Stress by dG
398,4;0,02;0,9075134999796457;1,53;1,3884956549688579;1,517307839278709
399,4;0,02;0,9074927507324291;1,53;1,3884639086206165;1,517367045648685
400,4;0,02;0,9074721499892853;1,53;1,3884323894836066;1,5174260546699831
401,4;0,02;0,9074516966873584;1,53;1,3884010959316584;1,5174848661347087
402,4;0,02;0,9074313897713995;1,53;1,3883700263502412;1,517543479848051
403,4;0,02;0,9074112281937121;1,53;1,3883391791363795;1,5176018956281079
404,4;0,02;0,9073912109140984;1,53;1,3883085526985706;1,5176601133057102
405,4;0,02;0,9073713368998049;1,53;1,3882781454567015;1,5177181327242506
406,4;0,02;0,9073516051254701;1,53;1,3882479558419694;1,5177759537395095
407,4;0,02;0,9073320145730707;1,53;1,3882179822967982;1,517833576219486
408,4;0,02;0,9073125642318698;1,53;1,3881882232747609;1,5178910000442358
409,4;0,02;0,9072932530983643;1,53;1,3881586772404975;1,5179482251056984
410,4;0,02;0,9072740801762331;1,53;1,3881293426696366;1,5180052513075342
411,4;0,02;0,9072550444762861;1,53;1,3881002180487179;1,518062078564968
412,4;0,02;0,9072361450164128;1,53;1,3880713018751116;1,5181187068046222
413,4;0,02;0,9072173808215318;1,53;1,3880425926569437;1,5181751359643607
414,4;0,02;0,9071987509235403;1,53;1,3880140889130166;1,5182313659931312
415,4;0,02;0,9071802543612645;1,53;1,3879857891727347;1,5182873968508093
416,4;0,02;0,9071618901804094;1,53;1,3879576919760264;1,5183432285080465
417,4;0,02;0,9071436574335107;1,53;1,3879297958732713;1,5183988609461139
418,4;0,02;0,9071255551798845;1,53;1,3879020994252234;1,5184542941567583
419,4;0,02;0,9071075824855797;1,53;1,3878746012029368;1,5185095281420478
420,4;0,02;0,9070897384233294;1,53;1,387847299787694;1,5185645629142244
421,4;0,02;0,9070720220725036;1,53;1,3878201937709305;1,5186193984955618
422,4;0,02;0,907054432519061;1,53;1,3877932817541634;1,5186740349182182
423,4;0,02;0,9070369688555023;1,53;1,3877665623489186;1,5187284722240966
424,4;0,02;0,9070196301808233;1,53;1,3877400341766597;1,5187827104647011
425,4;0,02;0,9070024156004682;1,53;1,3877136958687164;1,5188367497009962
426,4;0,02;0,9069853242262838;1,53;1,3876875460662141;1,518890590003272
427,4;0,02;0,9069683551764732;1,53;1,3876615834200041;1,5189442314510084
428,4;0,02;0,9069515075755509;1,53;1,387635806590593;1,5189976741327342
429,4;0,02;0,906934780554297;1,53;1,3876102142480744;1,5190509181458982
430,4;0,02;0,9069181732497132;1,53;1,3875848050720614;1,5191039635967378
431,4;0,02;0,9069016848049772;1,53;1,3875595777516152;1,519156810600142
432,4;0,02;0,9068853143693992;1,53;1,3875345309851808;1,519209459279532
433,4;0,02;0,9068690610983783;1,53;1,3875096634805189;1,5192619097667246
434,4;0,02;0,9068529241533576;1,53;1,387484973954637;1,5193141622018052
435,4;0,02;0,9068369027017826;1,53;1,3874604611337273;1,519366216733014
436,4;0,02;0,9068209959170573;1,53;1,3874361237530977;1,5194180735166065
437,4;0,02;0,9068052029785015;1,53;1,3874119605571074;1,5194697327167435
438,4;0,02;0,9067895230713087;1,53;1,3873879702991023;1,5195211945053655
439,4;0,02;0,9067739553865041;1,53;1,3873641517413513;1,5195724590620692
440,4;0,02;0,9067584991209029;1,53;1,3873405036549815;1,5196235265739961
441,4;0,02;0,9067431534770687;1,53;1,3873170248199151;1,519674397235711
442,4;0,02;0,9067279176632722;1,53;1,3872937140248065;1,5197250712490866
443,4;0,02;0,9067127908934511;1,53;1,3872705700669803;1,519775548823189
444,4;0,02;0,9066977723871684;1,53;1,3872475917523677;1,519825830174167
445,4;0,02;0,9066828613695732;1,53;1,387224777895447;1,5198759155251342
446,4;0,02;0,90666805707136;1,53;1,3872021273191808;1,5199258051060658
447,4;0,02;0,9066533587287294;1,53;1,387179638854956;1,5199754991536816
448,4;0,02;0,9066387655833487;1,53;1,3871573113425235;1,5200249979113416
449,4;0,02;0,9066242768823122;1,53;1,3871351436299377;1,5200743016289404
450,4;0,02;0,9066098918781034;1,53;1,3871131345734982;1,5201234105627968
451,4;0,02;0,9065956098285554;1,53;1,3870912830376898;1,5201723249755532
452,4;0,02;0,9065814299968133;1,53;1,3870695878951245;1,5202210451360698
453,4;0,02;0,9065673516512958;1,53;1,3870480480264826;1,5202695713193186
454,4;0,02;0,9065533740656577;1,53;1,3870266623204563;1,5203179038062928
455,4;0,02;0,9065394965187521;1,53;1,3870054296736907;1,5203660428838932
456,4;0,02;0,9065257182945936;1,53;1,3869843489907283;1,5204139888448385
457,4;0,02;0,9065120386823212;1,53;1,3869634191839515;1,520461741987567
458,4;0,02;0,9064984569761614;1,53;1,386942639173527;1,520509302616132
459,4;0,02;0,9064849724753922;1,53;1,38692200788735;1,520556671040115
460,4;0,02;0,9064715844843063;1,53;1,3869015242609888;1,5206038475745272
461,4;0,02;0,9064582923121763;1,53;1,3868811872376299;1,5206508325397146
462,4;0,02;0,906445095273218;1,53;1,3868609957680236;1,5206976262612686
463,4;0,02;0,9064319926865552;1,53;1,3868409488104294;1,5207442290699322
464,4;0,02;0,9064189838761852;1,53;1,3868210453305634;1,5207906413015109
465,4;0,02;0,9064060681709434;1,53;1,3868012843015434;1,520836863296782
466,4;0,02;0,9063932449044685;1,53;1,386781664703837;1,5208828954014066
467,4;0,02;0,9063805134151688;1,53;1,3867621855252084;1,520928737965842
468,4;0,02;0,9063678730461875;1,53;1,386742845760667;1,5209743913452598
469,4;0,02;0,9063553231453688;1,53;1,3867236444124142;1,5210198558994525
470,4;0,02;0,9063428630652249;1,53;1,3867045804897942;1,5210651319927533
471,4;0,02;0,9063304921629016;1,53;1,3866856530092395;1,5211102199939568
472,4;0,02;0,906318209800146;1,53;1,3866668609942234;1,5211551202762263
473,4;0,02;0,906306015343273;1,53;1,3866482034752077;1,5211998332170245
474,4;0,02;0,9062939081631329;1,53;1,3866296794895934;1,5212443591980218
475,4;0,02;0,9062818876350792;1,53;1,3866112880816712;1,5212886986050247
476,4;0,02;0,9062699531389357;1,53;1,3865930283025716;1,5213328518278917
477,4;0,02;0,9062581040589647;1,53;1,386574899210216;1,5213768192604595
478,4;0,02;0,9062463397838358;1,53;1,3865568998692688;1,5214206013004652
479,4;0,02;0,9062346597065937;1,53;1,3865390293510884;1,5214641983494666
480,4;0,02;0,9062230632246272;1,53;1,3865212867336796;1,5215076108127714
481,4;0,02;0,906211549739638;1,53;1,3865036711016463;1,521550839099363
482,4;0,02;0,9062001186576099;1,53;1,3864861815461431;1,5215938836218248
483,4;0,02;0,9061887693887781;1,53;1,3864688171648305;1,521636744796268
484,4;0,02;0,9061775013475989;1,53;1,3864515770618264;1,5216794230422606
485,4;0,02;0,9061663139527192;1,53;1,3864344603476604;1,5217219187827586
486,4;0,02;0,9061552066269468;1,53;1,3864174661392286;1,521764232444032
