Time;Strain;Reduced Relaxation Function;Elastic Response;Stress;;
43.2;0.06;0.835875691;2.28012;1.905896881;;
43.3;0.06;0.835739321;2.28012;1.905585941;;
43.4;0.06;0.83560342;2.28012;1.905276069;;
43.5;0.06;0.835467984;2.28012;1.904967259;;
43.6;0.06;0.835333011;2.28012;1.904659505;;
43.7;0.06;0.835198499;2.28012;1.904352802;;
43.8;0.06;0.835064447;2.28012;1.904047146;;
43.9;0.06;0.83493085;2.28012;1.90374253;;
44;0.06;0.834797708;2.28012;1.90343895;;
44.1;0.06;0.834665018;2.28012;1.9031364;;
44.2;0.06;0.834532777;2.28012;1.902834876;;
44.3;0.06;0.834400984;2.28012;1.902534372;;
44.4;0.06;0.834269636;2.28012;1.902234883;;
44.5;0.06;0.834138731;2.28012;1.901936404;;
44.6;0.06;0.834008267;2.28012;1.90163893;;
44.7;0.06;0.833878241;2.28012;1.901342456;;
44.8;0.06;0.833748652;2.28012;1.901046977;;
44.9;0.06;0.833619497;2.28012;1.900752488;;
45;0.06;0.833490774;2.28012;1.900458984;;
45.1;0.06;0.833362481;2.28012;1.90016646;;
45.2;0.06;0.833234616;2.28012;1.899874912;;
45.3;0.06;0.833107176;2.28012;1.899584334;;
45.4;0.06;0.832980159;2.28012;1.899294721;;
45.5;0.06;0.832853564;2.28012;1.899006069;;
45.6;0.06;0.832727389;2.28012;1.898718373;;
45.7;0.06;0.83260163;2.28012;1.898431629;;
45.8;0.06;0.832476287;2.28012;1.898145831;;
45.9;0.06;0.832351356;2.28012;1.897860974;;
46;0.06;0.832226837;2.28012;1.897577055;;
46.1;0.06;0.832102726;2.28012;1.897294068;;
46.2;0.06;0.831979023;2.28012;1.897012009;;
46.3;0.06;0.831855724;2.28012;1.896730873;;
46.4;0.06;0.831732828;2.28012;1.896450656;;
46.5;0.06;0.831610333;2.28012;1.896171352;;
46.6;0.06;0.831488237;2.28012;1.895892958;;
46.7;0.06;0.831366537;2.28012;1.895615469;;
46.8;0.06;0.831245233;2.28012;1.89533888;;
46.9;0.06;0.831124321;2.28012;1.895063187;;
47;0.06;0.831003801;2.28012;1.894788386;;
47.1;0.06;0.830883669;2.28012;1.894514471;;
47.2;0.06;0.830763924;2.28012;1.894241439;;
47.3;0.06;0.830644565;2.28012;1.893969286;;
47.4;0.06;0.830525589;2.28012;1.893698006;;
47.5;0.06;0.830406994;2.28012;1.893427596;;
47.6;0.06;0.830288779;2.28012;1.893158051;;
47.7;0.06;0.830170941;2.28012;1.892889367;;
47.8;0.06;0.830053479;2.28012;1.892621539;;
47.9;0.06;0.829936391;2.28012;1.892354564;;
48;0.06;0.829819675;2.28012;1.892088437;;
48.1;0.06;0.829703329;2.28012;1.891823154;;
48.2;0.06;0.829587351;2.28012;1.891558711;;
48.3;0.06;0.82947174;2.28012;1.891295103;;
48.4;0.06;0.829356493;2.28012;1.891032326;;
48.5;0.06;0.829241609;2.28012;1.890770377;;
48.6;0.06;0.829127086;2.28012;1.890509251;;
48.7;0.06;0.829012922;2.28012;1.890248944;;
48.8;0.06;0.828899116;2.28012;1.889989453;;
48.9;0.06;0.828785666;2.28012;1.889730772;;
49;0.06;0.828672569;2.28012;1.889472898;;
49.1;0.06;0.828559825;2.28012;1.889215827;;
49.2;0.06;0.828447431;2.28012;1.888959555;;
49.3;0.06;0.828335385;2.28012;1.888704078;;
49.4;0.06;0.828223687;2.28012;1.888449393;;
49.5;0.06;0.828112334;2.28012;1.888195494;;
49.6;0.06;0.828001324;2.28012;1.887942379;;
49.7;0.06;0.827890656;2.28012;1.887690043;;
49.8;0.06;0.827780328;2.28012;1.887438483;;
49.9;0.06;0.827670339;2.28012;1.887187694;;
50;0.06;0.827560687;2.28012;1.886937673;;
50.1;0.06;0.827451369;2.28012;1.886688416;;
50.2;0.06;0.827342385;2.28012;1.88643992;;
50.3;0.06;0.827233733;2.28012;1.88619218;;
50.4;0.06;0.827125411;2.28012;1.885945193;;
50.5;0.06;0.827017418;2.28012;1.885698955;;
50.6;0.06;0.826909751;2.28012;1.885453462;;
50.7;0.06;0.82680241;2.28012;1.885208711;;
50.8;0.06;0.826695392;2.28012;1.884964698;;
50.9;0.06;0.826588697;2.28012;1.88472142;;
51;0.06;0.826482322;2.28012;1.884478872;;
51.1;0.06;0.826376266;2.28012;1.884237051;;
51.2;0.06;0.826270527;2.28012;1.883995954;;
51.3;0.06;0.826165104;2.28012;1.883755577;;
51.4;0.06;0.826059995;2.28012;1.883515916;;
51.5;0.06;0.825955199;2.28012;1.883276968;;
51.6;0.06;0.825850714;2.28012;1.883038729;;
