Time;Strain;Reduced Relaxation Function;Elastic Response;Stress;Stress by Integral;Stress by dG
13.2;0.0264;0.946859679;0.553951981;0.529710575;0.532436448;0.532436197
13.3;0.0266;0.946732579;0.558248161;0.532350549;0.536506784;0.536506707
13.4;0.0268;0.946606439;0.562545861;0.537851674;0.540578216;0.540577965
13.5;0.027;0.94648125;0.566845083;0.540492481;0.544650402;0.544650321
13.6;0.0272;0.946357002;0.571145828;0.545996473;0.548723689;0.548723438
13.7;0.0274;0.946233684;0.575448095;0.548638128;0.552797741;0.552797658
13.8;0.0276;0.946111289;0.579751885;0.554145005;0.5568729;0.556872649
13.9;0.0278;0.945989807;0.584057199;0.556787524;0.560948836;0.56094875
14;0.028;0.945869227;0.588364038;0.562297302;0.565025883;0.565025632
14.1;0.0282;0.945749542;0.592672401;0.564940702;0.569103718;0.569103629
14.2;0.0284;0.945630741;0.59698229;0.570453398;0.57318267;0.573182418
14.3;0.0286;0.945512816;0.601293705;0.573097693;0.57726242;0.577262328
14.4;0.0288;0.945395758;0.605606646;0.578613323;0.581343292;0.58134304
14.5;0.029;0.945279559;0.609921115;0.581258529;0.585424972;0.585424879
14.6;0.0292;0.945164209;0.61423711;0.58677711;0.589507781;0.589507529
14.7;0.0294;0.9450497;0.618554635;0.58942324;0.593591407;0.593591311
14.8;0.0296;0.944936023;0.622873687;0.594944789;0.597676168;0.597675915
14.9;0.0298;0.944823171;0.627194269;0.597591859;0.601761755;0.601761656
15;0.03;0.944711133;0.631516381;0.60311639;0.605848481;0.605848228
15.1;0.0302;0.944599904;0.635840023;0.605764413;0.609936044;0.609935943
15.2;0.0304;0.944489473;0.640165196;0.611291943;0.614024752;0.614024499
15.3;0.0306;0.944379834;0.6444919;0.613940933;0.618114305;0.618114201
15.4;0.0308;0.944270977;0.648820136;0.619471476;0.622205008;0.622204755
15.5;0.031;0.944162896;0.653149905;0.622121448;0.626296566;0.62629646
15.6;0.0312;0.944055582;0.657481207;0.627655019;0.630389279;0.630389025
15.7;0.0314;0.943949028;0.661814042;0.630305985;0.634482856;0.634482747
15.8;0.0316;0.943843226;0.666148411;0.6358426;0.638577592;0.638577338
15.9;0.0318;0.943738169;0.670484315;0.638494574;0.642673202;0.642673091
16;0.032;0.943633848;0.674821754;0.644034246;0.646769975;0.646769721
16.1;0.0322;0.943530256;0.679160729;0.64668724;0.650867631;0.650867518
16.2;0.0324;0.943427387;0.68350124;0.652229984;0.654966456;0.654966201
16.3;0.0326;0.943325233;0.687843288;0.654884011;0.659066171;0.659066056
16.4;0.0328;0.943223786;0.692186874;0.660429841;0.66316706;0.663166805
16.5;0.033;0.94312304;0.696531997;0.663084914;0.667268847;0.66726873
16.6;0.0332;0.943022987;0.700878658;0.668633843;0.671371813;0.671371559
16.7;0.0334;0.942923621;0.705226859;0.671289974;0.675475687;0.675475567
16.8;0.0336;0.942824935;0.709576599;0.676842016;0.679580742;0.679580487
16.9;0.0338;0.942726922;0.713927879;0.679499217;0.683686714;0.683686592
17;0.034;0.942629574;0.7182807;0.685054386;0.687793872;0.687793617
17.1;0.0342;0.942532887;0.722635062;0.687712669;0.691901954;0.691901831
17.2;0.0344;0.942436852;0.726990966;0.693270977;0.696011228;0.696010972
17.3;0.0346;0.942341463;0.731348412;0.695930353;0.700121433;0.700121307
17.4;0.0348;0.942246714;0.735707401;0.701491813;0.704232833;0.704232577
17.5;0.035;0.942152599;0.740067933;0.704152294;0.708345173;0.708345045
17.6;0.0352;0.94205911;0.744430009;0.70971692;0.712458712;0.712458456
17.7;0.0354;0.941966243;0.74879363;0.712378516;0.716573199;0.716573069
17.8;0.0356;0.94187399;0.753158795;0.717946319;0.720688889;0.720688633
17.9;0.0358;0.941782346;0.757525506;0.720609042;0.724805534;0.724805403
18;0.036;0.941691304;0.761893764;0.726180036;0.728923387;0.728923131
18.1;0.0362;0.941600859;0.766263567;0.728843896;0.733042202;0.733042068
18.2;0.0364;0.941511005;0.770634918;0.734418092;0.737162228;0.737161972
18.3;0.0366;0.941421734;0.775007817;0.7370831;0.741283224;0.741283089
18.4;0.0368;0.941333043;0.779382264;0.74266051;0.745405436;0.745405179
18.5;0.037;0.941244925;0.78375826;0.745326677;0.749528623;0.749528486
18.6;0.0372;0.941157374;0.788135805;0.750907313;0.753653031;0.753652774
18.7;0.0374;0.941070385;0.7925149;0.753574648;0.757778422;0.757778283
18.8;0.0376;0.940983953;0.796895546;0.759158521;0.761905036;0.761904779
18.9;0.0378;0.940898071;0.801277742;0.761827035;0.766032641;0.7660325
19;0.038;0.940812734;0.805661491;0.770337173;0.770161473;0.770161215
19.1;0.0382;0.940727937;0.810046791;0.775931962;0.774291302;0.774291159
19.2;0.0384;0.940643674;0.814433644;0.778599328;0.778422362;0.778422104
19.3;0.0386;0.940559941;0.81882205;0.784197387;0.782554425;0.782554281
